id	Year	Postcode	Individuals	Taxable_income	Net_tax	Gross_interest	Net_rent	Net_capital_gain	Total_income	Total_deductions	Salary	Medicare_levy	Medicare_levy_surcharge	Total_work_related_expenses	Gifts	HELP_debt
200602145	2006	2145	28885	1255529601	282497454	21175040	-27108052	14286927	1315112015	59232443	1151779545	17381692	932035	43013172	3510798	2662270
200602146	2006	2146	7715	334100845	74172006	4958157	-7224570	3306390	349422607	15270167	303380634	4667237	228900	10320755	1026817	585256
200602147	2006	2147	16080	705852785	159428092	8049525	-17158478	6287598	736649702	30695569	653417160	9914877	491577	22317184	1777968	1113108
200602148	2006	2148	23935	965384317	207184675	11417172	-21252277	7503775	1008167796	42486820	906415256	13351119	706053	32174158	3036014	1538230
200602150	2006	2150	11115	430401697	91834532	6397808	-6551347	4011191	453453696	22993548	405097028	5573335	380435	17397959	1357311	1241621
200602151	2006	2151	8665	416141785	100267165	9143680	-9810963	7856356	438144728	21804773	362826909	5818276	268784	13069249	1318762	1013767
200602152	2006	2152	3900	189212619	45039759	3228416	-4630023	3603703	198962546	9678167	166583923	2680390	93868	6011927	612509	417875
200602153	2006	2153	26795	1376895450	344984912	25528455	-42828589	32083606	1449067252	71838122	1197169829	19550233	655012	42510340	4276221	2280840
200602154	2006	2154	18655	1080038179	293574569	29740468	-31314168	35686412	1141799177	61125513	862233144	15246586	411433	30324539	3902975	1468764
200602155	2006	2155	17175	920236983	239834419	10837814	-31971557	21464291	969573742	49052940	836520477	13109125	572862	32651166	3140510	1397946
200602156	2006	2156	6535	436523020	130396298	11902139	-9965943	21069245	464384671	27562317	302916563	6287821	160283	10208446	2284463	428136
200602157	2006	2157	1725	92051564	24633913	3157926	-827724	5718535	97041796	4966345	62994583	1308995	23225	2220506	272509	108983
200602158	2006	2158	4240	309992247	96816154	10800213	-6270188	29133044	331844528	21538842	189589604	4446040	100333	6337042	1213899	258586
200602159	2006	2159	2420	148579751	42275878	4657672	-2018292	5833877	157536086	8853885	98598037	2125727	56244	3378783	620570	112227
200602160	2006	2160	11980	462382360	97592620	7558362	-10266246	5898121	485834008	23019793	417986813	6225844	343491	17148838	1581575	974562
200602161	2006	2161	8915	346555043	73725047	5118238	-7722317	2986060	363685932	17008307	305245538	4667856	238516	12727156	1237317	658756
200602162	2006	2162	6005	236846256	50507236	3801745	-4985744	2434217	248529750	11561998	214573075	3213318	165023	8484606	852850	417355
200602163	2006	2163	2655	94871737	18874324	947485	-1931579	845333	99647474	4737200	89877997	1258254	64947	3751963	409155	202332
200602164	2006	2164	8160	336174500	75357842	5472055	-6861325	5406085	351614951	15389093	290303500	4654743	213575	11535592	1018518	454516
200602165	2006	2165	12575	459987300	92517034	5743575	-11628073	4057889	484020539	23859009	421885036	6134427	325198	18393213	1747401	1010283
200602166	2006	2166	16105	566120471	111518951	7510778	-10979495	5217727	595695148	29425570	519832535	7436359	384254	23677520	2083592	1492708
200602167	2006	2167	3080	128556652	28139524	1754457	-2989474	1019058	134029161	5449565	120139172	1794225	115555	4277505	355912	224810
200602168	2006	2168	14435	543199947	111605492	3208060	-17086407	3482266	571763845	28396344	527114707	7353199	407817	23035604	2122490	878480
200602170	2006	2170	35520	1446619286	314367168	16908797	-36450796	18007639	1523823155	76773582	1335276473	19737718	1071881	58357349	5154949	2500244
200602171	2006	2171	13895	593568529	135333770	8349329	-21688508	7365466	625338359	31279680	531102946	8300715	420504	23206562	1867906	772963
200602172	2006	2172	550	28636354	7433061	362429	-1389651	441365	30375069	1738739	27277870	398464	14642	1089142	110166	48598
200602173	2006	2173	6335	293915468	68333574	1773195	-11019822	2981948	310087158	16131632	290907851	3566862	160580	13029398	902357	527150
200602174	2006	2174	240	10947090	2547964	151492	-18177	100106	11770776	818699	9480067	104277	6347	589636	28658	15720
200602175	2006	2175	505	20778585	4543400	991384	-40420	390498	21990139	1193784	13899460	283785	13004	609447	42010	26185
200602176	2006	2176	19920	793125257	171873225	11048475	-28798294	10132951	834396754	40969788	729980427	10950506	526042	30553867	2448304	1739826
200602177	2006	2177	5705	216656200	45281125	2293611	-8215761	3008263	228442848	11606761	203594343	2935957	155286	9202286	704652	590850
200602178	2006	2178	760	34206412	8500489	1097320	-224118	869321	36076400	1864714	21930845	479937	17771	890807	58426	36267
200602179	2006	2179	1160	49517883	11696453	1987467	-863936	889817	51979434	2436328	36556785	685262	37055	1576040	132542	61314
200602190	2006	2190	7585	281416454	58602958	5099862	-6610813	3615109	297080373	15420287	247100320	3693430	197963	11520461	1121735	633716
200602191	2006	2191	2195	94120998	21378631	1882062	-2460176	1202796	99032986	4902431	79548835	1292968	65204	3216016	313922	132377
200602192	2006	2192	4740	180403391	37855985	3274003	-3229192	2244943	189229772	8806514	162116646	2435848	145053	6703135	644277	421497
200602193	2006	2193	5995	275350425	65068727	4953648	-5723074	3859526	288788896	13378146	243927757	3858711	224159	9541696	991189	421933
200602194	2006	2194	7900	274718776	54275353	4931376	-5607386	3362084	287225569	12765600	250315510	3520232	172461	9752143	884774	632355
200602195	2006	2195	7520	254770041	48280223	2596743	-3750212	1694495	269596367	14766832	238561249	3148582	155034	11793087	1368037	576327
200602196	2006	2196	10400	388922388	80226867	6978042	-8642253	4364523	410277894	21001419	351323864	5156364	255727	15616974	1825417	853913
200602197	2006	2197	2955	118468064	25412220	2256408	-1987991	1608063	124449649	5991121	104327344	1608588	81058	4213824	569636	142982
200602198	2006	2198	3840	166226109	37213112	3131666	-4835135	2368583	175398392	9123763	147382607	2305028	90393	5897973	571661	267094
200602199	2006	2199	5440	211132570	44382271	3681155	-5925327	1587026	221929579	10705207	193725537	2862525	118038	7665069	928324	499115
200602200	2006	2200	13510	513978138	106960727	9097109	-11187281	4285316	541945785	27744633	462566674	6855869	323089	20594716	2443657	1083375
200602203	2006	2203	6610	323937442	79104521	4439151	-5205421	3492864	339863284	15791490	297267119	4601503	327022	11706938	1059646	1003144
200602204	2006	2204	10480	467503847	109906647	7269457	-6092703	5095708	489800302	22038494	424936054	6517164	506473	16170012	1641583	1378718
200602205	2006	2205	5455	232479105	52338583	3545677	-6572625	3970723	244823138	12233791	212124396	3166339	181505	9030055	762538	503258
200602206	2006	2206	8385	388039705	92518166	10769631	-5369218	6735784	409503825	21293991	316982740	5437799	293906	13300196	1093037	735806
200602207	2006	2207	11455	508306452	116897791	12218781	-9806446	8672193	533713085	25230165	437604690	7021059	321522	16469361	1840795	879650
200602208	2006	2208	5215	226154055	51857615	7496860	-3986802	3961866	237732602	11570764	188952151	3130663	132985	7182321	896758	417177
200602209	2006	2209	6195	268251111	60607897	7674064	-5639583	5105513	281390189	12965776	225036076	3678060	118864	8063744	886094	600637
